,filename,url,start_time,number_of_frames,width,height,label_proc,label_raw,label_notes,partition,signer
0,aslized/elsie_stecker_0001,https://www.youtube.com/watch?v=4YIYRu2PERg,0:00:17.740000,19,640,360,dc,dc,dc?,train,0000
1,aslized/elsie_stecker_0002,https://www.youtube.com/watch?v=4YIYRu2PERg,0:00:29.250000,13,640,360,ed,ed,,train,0000
2,aslized/elsie_stecker_0003,https://www.youtube.com/watch?v=4YIYRu2PERg,0:00:55.080000,42,640,360,aslized,aslized,,train,0000
3,aslized/elsie_stecker_0004,https://www.youtube.com/watch?v=4YIYRu2PERg,0:00:57.440000,66,640,360,asl literature,asl!literature,,train,0000
4,aslized/elsie_stecker_0005,https://www.youtube.com/watch?v=4YIYRu2PERg,0:01:10.275000,32,640,360,alized,alized,,train,0000
5,aslized/elsie_stecker_0006,https://www.youtube.com/watch?v=4YIYRu2PERg,0:01:21.315000,15,640,360,asl,asl,,train,0000
6,aslized/elsie_stecker_0007,https://www.youtube.com/watch?v=4YIYRu2PERg,0:01:40.370000,15,640,360,asl,asl,,train,0000
7,aslized/elsie_stecker_0008,https://www.youtube.com/watch?v=4YIYRu2PERg,0:02:00.055000,21,640,360,ed,ed,,train,0000
8,aslized/elsie_stecker_0009,https://www.youtube.com/watch?v=4YIYRu2PERg,0:02:19.550000,23,640,360,asl,asl,aslo?,train,0000
9,aslized/elsie_stecker_0010,https://www.youtube.com/watch?v=4YIYRu2PERg,0:02:24.230000,28,640,360,video,video,,train,0000
10,aslized/elsie_stecker_0011,https://www.youtube.com/watch?v=4YIYRu2PERg,0:02:45.150000,36,640,360,aslized,aslized,,train,0000
11,aslized/elsie_stecker_0012,https://www.youtube.com/watch?v=4YIYRu2PERg,0:02:50.790000,37,640,360,aslized,aslized,,train,0000
12,aslized/elsie_stecker_0013,https://www.youtube.com/watch?v=4YIYRu2PERg,0:03:08.870000,40,640,360,aslized,aslized,,train,0000
13,aslized/elsie_stecker_0014,https://www.youtube.com/watch?v=4YIYRu2PERg,0:03:13.630000,14,640,360,ed,ed,,train,0000
14,aslized/elsie_stecker_0015,https://www.youtube.com/watch?v=4YIYRu2PERg,0:03:20.575000,82,640,360,aslized garden,aslized!garden,,train,0000
15,aslized/elsie_stecker_0016,https://www.youtube.com/watch?v=4YIYRu2PERg,0:03:27.600000,21,640,360,seeds,seeds,,train,0000
16,aslized/elsie_stecker_0017,https://www.youtube.com/watch?v=4YIYRu2PERg,0:03:30.230000,62,640,360,tactile asl,tactile asl,,train,0000
17,aslized/elsie_stecker_0018,https://www.youtube.com/watch?v=4YIYRu2PERg,0:03:33.575000,22,640,360,asl,asl,,train,0000
18,aslized/elsie_stecker_0019,https://www.youtube.com/watch?v=4YIYRu2PERg,0:03:52.990000,33,640,360,garden,garden,,train,0000
19,aslized/elsie_stecker_0020,https://www.youtube.com/watch?v=4YIYRu2PERg,0:03:58.490000,31,640,360,garden,garden,,train,0000
20,aslized/elsie_stecker_0021,https://www.youtube.com/watch?v=4YIYRu2PERg,0:04:02.540000,12,640,360,door,door,,train,0000
21,aslized/elsie_stecker_0022,https://www.youtube.com/watch?v=yOAmYSW3WyU,0:00:08.560000,39,480,360,gar,gar,gar?,train,0000
22,aslized/elsie_stecker_0023,https://www.youtube.com/watch?v=yOAmYSW3WyU,0:00:12.210000,59,480,360,asl literature,asl!literature,,train,0000
23,aslized/elsie_stecker_0024,https://www.youtube.com/watch?v=yOAmYSW3WyU,0:00:14.525000,39,480,360,asl lit,asl lit,,train,0000
24,aslized/elsie_stecker_0025,https://www.youtube.com/watch?v=yOAmYSW3WyU,0:00:18.750000,31,480,360,asl lit,asl lit,,train,0000
25,aslized/elsie_stecker_0026,https://www.youtube.com/watch?v=yOAmYSW3WyU,0:00:22.195000,32,480,360,asl lit,asl lit,,train,0000
26,aslized/elsie_stecker_0027,https://www.youtube.com/watch?v=yOAmYSW3WyU,0:00:24.680000,37,480,360,fotgs,fotgs,fotgs?,train,0000
27,aslized/elsie_stecker_0028,https://www.youtube.com/watch?v=yOAmYSW3WyU,0:00:49.630000,23,480,360,asl,asl,,train,0000
28,aslized/elsie_stecker_0029,https://www.youtube.com/watch?v=yOAmYSW3WyU,0:01:09.170000,22,480,360,all,all ,"palm back, sign like",train,0000
29,aslized/elsie_stecker_0030,https://www.youtube.com/watch?v=yOAmYSW3WyU,0:01:10.840000,42,480,360,ok ok ok ok,ok ok ok ok,,train,0000
30,aslized/elsie_stecker_0031,https://www.youtube.com/watch?v=yOAmYSW3WyU,0:01:12.620000,10,480,360,it,it,,train,0000
31,aslized/elsie_stecker_0032,https://www.youtube.com/watch?v=yOAmYSW3WyU,0:01:13.950000,13,480,360,ok,ok,,train,0000
32,aslized/elsie_stecker_0033,https://www.youtube.com/watch?v=yOAmYSW3WyU,0:01:26.570000,27,480,360,asl lit,asl lit,,train,0000
33,aslized/elsie_stecker_0034,https://www.youtube.com/watch?v=yOAmYSW3WyU,0:01:28.260000,20,480,360,format,format,,train,0000
34,aslized/elsie_stecker_0035,https://www.youtube.com/watch?v=yOAmYSW3WyU,0:01:31.545000,16,480,360,so,so,,train,0000
35,aslized/elsie_stecker_0036,https://www.youtube.com/watch?v=yOAmYSW3WyU,0:01:42.645000,23,480,360,lit,lit,,train,0000
36,aslized/elsie_stecker_0037,https://www.youtube.com/watch?v=yOAmYSW3WyU,0:01:44.050000,34,480,360,asl lit,asl!lit,,train,0000
37,aslized/elsie_stecker_0038,https://www.youtube.com/watch?v=yOAmYSW3WyU,0:01:48.050000,39,480,360,gelentax,gelentax,gelentax?,train,0000
38,aslized/elsie_stecker_0039,https://www.youtube.com/watch?v=yOAmYSW3WyU,0:01:50.090000,24,480,360,lit,lit,,train,0000
39,aslized/elsie_stecker_0040,https://www.youtube.com/watch?v=yOAmYSW3WyU,0:01:57.970000,19,480,360,own,own ,sign-like,train,0000
40,aslized/elsie_stecker_0041,https://www.youtube.com/watch?v=yOAmYSW3WyU,0:02:06.045000,54,480,360,literature,literature,,train,0000
41,aslized/elsie_stecker_0042,https://www.youtube.com/watch?v=yOAmYSW3WyU,0:02:10.790000,36,480,360,genres,genres,,train,0000
42,aslized/elsie_stecker_0043,https://www.youtube.com/watch?v=yOAmYSW3WyU,0:02:14.765000,14,480,360,all,all ,sign like,train,0000
43,aslized/elsie_stecker_0044,https://www.youtube.com/watch?v=yOAmYSW3WyU,0:02:21.140000,36,480,360,g caknr,g caknr,g caknr?,train,0000
44,aslized/elsie_stecker_0045,https://www.youtube.com/watch?v=yOAmYSW3WyU,0:02:22.440000,24,480,360,hurry,hurry,hurry?,train,0000
45,aslized/elsie_stecker_0046,https://www.youtube.com/watch?v=yOAmYSW3WyU,0:02:25.560000,52,480,360,yg asl inter,yg asl inter,yg asl inter?,train,0000
46,aslized/elsie_stecker_0047,https://www.youtube.com/watch?v=yOAmYSW3WyU,0:02:38.480000,20,480,360,rale,rale,rale?,train,0000
47,aslized/elsie_stecker_0048,https://www.youtube.com/watch?v=yOAmYSW3WyU,0:02:41.990000,20,480,360,lit,lit,,train,0000
48,aslized/elsie_stecker_0049,https://www.youtube.com/watch?v=yOAmYSW3WyU,0:02:44.450000,15,480,360,ed,ed,,train,0000
49,aslized/elsie_stecker_0050,https://www.youtube.com/watch?v=yOAmYSW3WyU,0:02:49.440000,20,480,360,hs,hs ,sign like,train,0000
50,aslized/elsie_stecker_0051,https://www.youtube.com/watch?v=yOAmYSW3WyU,0:02:51.030000,26,480,360,lit all,lit!all ,all - sign like,train,0000
51,aslized/elsie_stecker_0052,https://www.youtube.com/watch?v=yOAmYSW3WyU,0:02:53.117000,21,480,360,romeo,romeo,,train,0000
52,aslized/elsie_stecker_0053,https://www.youtube.com/watch?v=yOAmYSW3WyU,0:02:54.022000,13,480,360,jult,jult,,train,0000
53,aslized/elsie_stecker_0054,https://www.youtube.com/watch?v=yOAmYSW3WyU,0:02:54.662000,13,480,360,hs,hs ,sign like,train,0000
54,aslized/elsie_stecker_0055,https://www.youtube.com/watch?v=yOAmYSW3WyU,0:03:01.982000,14,480,360,ama,ama,ama?,train,0000
55,aslized/elsie_stecker_0056,https://www.youtube.com/watch?v=yOAmYSW3WyU,0:03:05.062000,57,480,360,l asl lit,l!asl lit,,train,0000
56,aslized/elsie_stecker_0057,https://www.youtube.com/watch?v=yOAmYSW3WyU,0:03:17.100000,30,480,360,asl lit,asl lit,,train,0000
57,aslized/elsie_stecker_0058,https://www.youtube.com/watch?v=yOAmYSW3WyU,0:03:21.300000,29,480,360,age,age,,train,0000
58,aslized/elsie_stecker_0059,https://www.youtube.com/watch?v=yOAmYSW3WyU,0:03:25.675000,63,480,360,hs asl lit,hs!asl lit,,train,0000
59,aslized/elsie_stecker_0060,https://www.youtube.com/watch?v=yOAmYSW3WyU,0:03:29.840000,21,480,360,so,so,,train,0000
60,aslized/elsie_stecker_0061,https://www.youtube.com/watch?v=yOAmYSW3WyU,0:03:31.465000,18,480,360,it,it,,train,0000
61,aslized/elsie_stecker_0062,https://www.youtube.com/watch?v=yOAmYSW3WyU,0:03:38.969000,22,480,360,lit,lit,,train,0000
62,aslized/elsie_stecker_0063,https://www.youtube.com/watch?v=yOAmYSW3WyU,0:03:40.794000,34,480,360,folk lore,folk!lore,,train,0000
63,aslized/elsie_stecker_0064,https://www.youtube.com/watch?v=yOAmYSW3WyU,0:03:45.950000,27,480,360,city,city,,train,0000
64,aslized/elsie_stecker_0065,https://www.youtube.com/watch?v=yOAmYSW3WyU,0:03:53.715000,28,480,360,lit,lit,,train,0000
